teamID,yearID,total_payroll,  wins,games,win_percentage,franchID
ANA,2015,146449583,85,162,0.525,ANA
ANA,2016,146449583,74,162,0.457,ANA
ANA,2017,146449583,80,162,0.494,ANA
ANA,2018,146449583,80,162,0.494,ANA
ANA,2019,146449583,72,162,0.444,ANA
ANA,2020,146449583,26,60,0.433,ANA
ARI,2015,146449583,79,162,0.488,ARI
ARI,2016,146449583,69,162,0.426,ARI
ARI,2017,146449583,93,162,0.574,ARI
ARI,2018,146449583,82,162,0.506,ARI
ARI,2019,146449583,85,162,0.525,ARI
ARI,2020,146449583,25,60,0.417,ARI
ATL,2015,146449583,67,162,0.414,ATL
ATL,2016,146449583,68,161,0.422,ATL
ATL,2017,146449583,72,162,0.444,ATL
ATL,2018,146449583,90,162,0.556,ATL
ATL,2019,146449583,97,162,0.599,ATL
ATL,2020,146449583,35,60,0.583,ATL
BAL,2015,146449583,81,162,0.5,BAL
BAL,2016,146449583,89,162,0.549,BAL
BAL,2017,146449583,75,162,0.463,BAL
BAL,2018,146449583,47,162,0.29,BAL
BAL,2019,146449583,54,162,0.333,BAL
BAL,2020,146449583,25,60,0.417,BAL
BOS,2015,146449583,78,162,0.481,BOS
BOS,2016,146449583,93,162,0.574,BOS
BOS,2017,146449583,93,162,0.574,BOS
BOS,2018,146449583,108,162,0.667,BOS
BOS,2019,146449583,84,162,0.519,BOS
BOS,2020,146449583,24,60,0.4,BOS
CHA,2015,146449583,76,162,0.469,CHA
CHA,2016,146449583,78,162,0.481,CHA
CHA,2017,146449583,67,162,0.414,CHA
CHA,2018,146449583,62,162,0.383,CHA
CHA,2019,146449583,72,161,0.447,CHA
CHA,2020,146449583,35,60,0.583,CHA
CHN,2015,146449583,97,162,0.599,CHN
CHN,2016,146449583,103,161,0.64,CHN
CHN,2017,146449583,92,162,0.568,CHN
CHN,2018,146449583,95,163,0.583,CHN
CHN,2019,146449583,84,162,0.519,CHN
CHN,2020,146449583,34,59,0.576,CHN
CIN,2015,146449583,64,162,0.395,CIN
CIN,2016,146449583,68,162,0.42,CIN
CIN,2017,146449583,68,162,0.42,CIN
CIN,2018,146449583,67,162,0.414,CIN
CIN,2019,146449583,75,162,0.463,CIN
CIN,2020,146449583,31,60,0.517,CIN
CLE,2015,146449583,81,161,0.503,CLE
CLE,2016,146449583,94,161,0.584,CLE
CLE,2017,146449583,102,162,0.63,CLE
CLE,2018,146449583,91,162,0.562,CLE
CLE,2019,146449583,93,162,0.574,CLE
CLE,2020,146449583,35,60,0.583,CLE
COL,2015,146449583,68,162,0.42,COL
COL,2016,146449583,75,162,0.463,COL
COL,2017,146449583,87,162,0.537,COL
COL,2018,146449583,91,163,0.558,COL
COL,2019,146449583,71,162,0.438,COL
COL,2020,146449583,26,60,0.433,COL
DET,2015,146449583,74,161,0.46,DET
DET,2016,146449583,86,161,0.534,DET
DET,2017,146449583,64,162,0.395,DET
DET,2018,146449583,64,162,0.395,DET
DET,2019,146449583,47,161,0.292,DET
DET,2020,146449583,23,58,0.397,DET
HOU,2015,146449583,86,162,0.531,HOU
HOU,2016,146449583,84,162,0.519,HOU
HOU,2017,146449583,101,162,0.623,HOU
HOU,2018,146449583,103,162,0.636,HOU
HOU,2019,146449583,107,162,0.66,HOU
HOU,2020,146449583,29,60,0.483,HOU
KCA,2015,146449583,95,162,0.586,KCA
KCA,2016,146449583,81,162,0.5,KCA
KCA,2017,146449583,80,162,0.494,KCA
KCA,2018,146449583,58,162,0.358,KCA
KCA,2019,146449583,59,162,0.364,KCA
KCA,2020,146449583,26,60,0.433,KCA
LAN,2015,146449583,92,162,0.568,LAN
LAN,2016,146449583,91,162,0.562,LAN
LAN,2017,146449583,104,162,0.642,LAN
LAN,2018,146449583,92,163,0.564,LAN
LAN,2019,146449583,106,162,0.654,LAN
LAN,2020,146449583,43,60,0.717,LAN
MIA,2015,146449583,71,162,0.438,MIA
MIA,2016,146449583,79,161,0.491,MIA
MIA,2017,146449583,77,162,0.475,MIA
MIA,2018,146449583,63,161,0.391,MIA
MIA,2019,146449583,57,162,0.352,MIA
MIA,2020,146449583,31,60,0.517,MIA
MIL,2015,146449583,68,162,0.42,MIL
MIL,2016,146449583,73,162,0.451,MIL
MIL,2017,146449583,86,162,0.531,MIL
MIL,2018,146449583,96,163,0.589,MIL
MIL,2019,146449583,89,162,0.549,MIL
MIL,2020,146449583,29,60,0.483,MIL
MIN,2015,146449583,83,162,0.512,MIN
MIN,2016,146449583,59,162,0.364,MIN
MIN,2017,146449583,85,162,0.525,MIN
MIN,2018,146449583,78,162,0.481,MIN
MIN,2019,146449583,101,162,0.623,MIN
MIN,2020,146449583,36,60,0.6,MIN
NYA,2015,146449583,90,162,0.556,NYA
NYA,2016,146449583,87,162,0.537,NYA
NYA,2017,146449583,70,162,0.432,NYA
